FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,NK,20416,NK,304,13204,1320402,31454,MCO,10158,1015804,30158,ACY,2147,2139,-8.00,13.00,2152,2337,8.00,2350,2345,-5.00,0.00,,0.00,852.00
2015-01-01,NK,20416,NK,310,12892,1289203,32575,LAX,11697,1169703,32467,FLL,2100,2108,8.00,10.00,2118,0448,6.00,0441,0454,13.00,0.00,,0.00,2342.00
2015-01-01,NK,20416,NK,311,10158,1015804,30158,ACY,13204,1320402,31454,MCO,0730,0727,-3.00,14.00,0741,0943,6.00,1001,0949,-12.00,0.00,,0.00,852.00
2015-01-01,NK,20416,NK,312,13204,1320402,31454,MCO,10158,1015804,30158,ACY,1438,1518,40.00,13.00,1531,1717,6.00,1647,1723,36.00,0.00,,0.00,852.00
2015-01-01,NK,20416,NK,313,11433,1143302,31295,DTW,11298,1129803,30194,DFW,0725,0729,4.00,12.00,0741,0917,9.00,0930,0926,-4.00,0.00,,0.00,986.00
2015-01-01,NK,20416,NK,316,11433,1143302,31295,DTW,12953,1295302,31703,LGA,0600,0558,-2.00,11.00,0609,0716,80.00,0738,0836,58.00,0.00,,0.00,502.00
2015-01-01,NK,20416,NK,318,14635,1463502,31714,RSW,13487,1348702,31650,MSP,1518,1525,7.00,10.00,1535,1754,8.00,1759,1802,3.00,0.00,,0.00,1416.00
2015-01-01,NK,20416,NK,319,13487,1348702,31650,MSP,14635,1463502,31714,RSW,1120,1129,9.00,31.00,1200,1550,3.00,1540,1553,13.00,0.00,,0.00,1416.00
2015-01-01,NK,20416,NK,323,13487,1348702,31650,MSP,12892,1289203,32575,LAX,1650,1706,16.00,11.00,1717,1832,9.00,1843,1841,-2.00,0.00,,0.00,1535.00
2015-01-01,NK,20416,NK,676,11697,1169703,32467,FLL,13204,1320402,31454,MCO,2005,2002,-3.00,10.00,2012,2045,8.00,2107,2053,-14.00,0.00,,0.00,177.00
2015-01-01,NK,20416,NK,678,14635,1463502,31714,RSW,11433,1143302,31295,DTW,1630,1640,10.00,12.00,1652,1922,4.00,1920,1926,6.00,0.00,,0.00,1084.00
2015-01-01,NK,20416,NK,680,12266,1226603,31453,IAH,13495,1349503,33495,MSY,1810,1844,34.00,12.00,1856,1941,3.00,1910,1944,34.00,0.00,,0.00,305.00
2015-01-01,NK,20416,NK,680,13495,1349503,33495,MSY,11697,1169703,32467,FLL,1958,2247,169.00,9.00,2256,0123,12.00,2246,0135,169.00,0.00,,0.00,674.00
2015-01-01,NK,20416,NK,683,11433,1143302,31295,DTW,14635,1463502,31714,RSW,1457,1505,8.00,8.00,1513,1739,4.00,1746,1743,-3.00,0.00,,0.00,1084.00
2015-01-01,NK,20416,NK,689,11433,1143302,31295,DTW,14635,1463502,31714,RSW,2015,2018,3.00,10.00,2028,2257,6.00,2305,2303,-2.00,0.00,,0.00,1084.00
2015-01-01,NK,20416,NK,695,10821,1082103,30852,BWI,12889,1288903,32211,LAS,0810,0818,8.00,7.00,0825,1052,5.00,1032,1057,25.00,0.00,,0.00,2106.00
2015-01-01,NK,20416,NK,695,12889,1288903,32211,LAS,13796,1379603,32457,OAK,1115,1137,22.00,12.00,1149,1251,5.00,1246,1256,10.00,0.00,,0.00,407.00
2015-01-01,NK,20416,NK,696,12889,1288903,32211,LAS,10821,1082103,30852,BWI,2350,2345,-5.00,11.00,2356,0648,7.00,0710,0655,-15.00,0.00,,0.00,2106.00
2015-01-01,NK,20416,NK,705,12953,1295302,31703,LGA,11697,1169703,32467,FLL,0640,0828,108.00,19.00,0847,1114,9.00,0946,1123,97.00,0.00,,0.00,1076.00
2015-01-01,NK,20416,NK,706,11433,1143302,31295,DTW,12892,1289203,32575,LAX,1805,1821,16.00,12.00,1833,2013,10.00,2008,2023,15.00,0.00,,0.00,1979.00
2015-01-01,NK,20416,NK,709,12892,1289203,32575,LAX,11433,1143302,31295,DTW,2225,2318,53.00,11.00,2329,0614,11.00,0536,0625,49.00,0.00,,0.00,1979.00
2015-01-01,NK,20416,NK,710,11697,1169703,32467,FLL,12953,1295302,31703,LGA,2009,2010,1.00,12.00,2022,2242,6.00,2256,2248,-8.00,0.00,,0.00,1076.00
2015-01-01,NK,20416,NK,711,11433,1143302,31295,DTW,12889,1288903,32211,LAS,1945,1955,10.00,14.00,2009,2117,5.00,2112,2122,10.00,0.00,,0.00,1749.00
2015-01-01,NK,20416,NK,711,12889,1288903,32211,LAS,13796,1379603,32457,OAK,2157,2158,1.00,17.00,2215,2318,6.00,2326,2324,-2.00,0.00,,0.00,407.00
2015-01-01,NK,20416,NK,711,12953,1295302,31703,LGA,11433,1143302,31295,DTW,1645,1658,13.00,19.00,1717,1852,10.00,1854,1902,8.00,0.00,,0.00,502.00
2015-01-01,NK,20416,NK,711,13577,1357702,31135,MYR,12953,1295302,31703,LGA,1414,1421,7.00,11.00,1432,1552,22.00,1556,1614,18.00,0.00,,0.00,563.00
2015-01-01,NK,20416,NK,713,13204,1320402,31454,MCO,12266,1226603,31453,IAH,1125,1122,-3.00,15.00,1137,1256,12.00,1305,1308,3.00,0.00,,0.00,854.00
2015-01-01,NK,20416,NK,718,11298,1129803,30194,DFW,12953,1295302,31703,LGA,0750,0853,63.00,34.00,0927,1259,8.00,1200,1307,67.00,0.00,,0.00,1389.00
2015-01-01,NK,20416,NK,719,11292,1129202,30325,DEN,12889,1288903,32211,LAS,1845,1839,-6.00,110.00,2029,2046,4.00,1937,2050,73.00,0.00,,0.00,628.00
2015-01-01,NK,20416,NK,719,11298,1129803,30194,DFW,11292,1129202,30325,DEN,1659,1649,-10.00,12.00,1701,1736,10.00,1802,1746,-16.00,0.00,,0.00,641.00
2015-01-01,NK,20416,NK,719,12889,1288903,32211,LAS,12892,1289203,32575,LAX,2020,2135,75.00,11.00,2146,2225,12.00,2131,2237,66.00,0.00,,0.00,236.00
2015-01-01,NK,20416,NK,720,11292,1129202,30325,DEN,11298,1129803,30194,DFW,2058,2111,13.00,81.00,2232,0103,8.00,2346,0111,85.00,0.00,,0.00,641.00
2015-01-01,NK,20416,NK,720,12889,1288903,32211,LAS,11292,1129202,30325,DEN,1725,1716,-9.00,25.00,1741,2017,21.00,2017,2038,21.00,0.00,,0.00,628.00
2015-01-01,NK,20416,NK,720,12892,1289203,32575,LAX,12889,1288903,32211,LAS,1535,1528,-7.00,7.00,1535,1620,5.00,1641,1625,-16.00,0.00,,0.00,236.00
2015-01-01,NK,20416,NK,724,11697,1169703,32467,FLL,12898,1289803,32898,LBE,1313,1309,-4.00,18.00,1327,1544,4.00,1551,1548,-3.00,0.00,,0.00,980.00
2015-01-01,NK,20416,NK,725,13198,1319801,33198,MCI,12266,1226603,31453,IAH,0645,0637,-8.00,10.00,0647,0835,8.00,0835,0843,8.00,0.00,,0.00,643.00
2015-01-01,NK,20416,NK,727,12898,1289803,32898,LBE,11697,1169703,32467,FLL,1631,1641,10.00,11.00,1652,1907,9.00,1926,1916,-10.00,0.00,,0.00,980.00
2015-01-01,NK,20416,NK,728,15304,1530402,33195,TPA,13930,1393003,30977,ORD,1120,1130,10.00,11.00,1141,1310,10.00,1307,1320,13.00,0.00,,0.00,1012.00
2015-01-01,NK,20416,NK,729,13930,1393003,30977,ORD,15304,1530402,33195,TPA,0650,0724,34.00,9.00,0733,1040,7.00,1033,1047,14.00,0.00,,0.00,1012.00
2015-01-01,NK,20416,NK,730,12892,1289203,32575,LAX,13930,1393003,30977,ORD,1045,1037,-8.00,7.00,1044,1611,6.00,1642,1617,-25.00,0.00,,0.00,1744.00
2015-01-01,NK,20416,NK,731,13930,1393003,30977,ORD,12892,1289203,32575,LAX,0725,0719,-6.00,16.00,0735,0942,8.00,1002,0950,-12.00,0.00,,0.00,1744.00
2015-01-01,NK,20416,NK,972,11298,1129803,30194,DFW,11697,1169703,32467,FLL,0600,0603,3.00,56.00,0659,1010,4.00,0939,1014,35.00,0.00,,0.00,1119.00
2015-01-01,NK,20416,NK,972,14107,1410702,30466,PHX,11298,1129803,30194,DFW,0159,0158,-1.00,11.00,0209,0452,11.00,0502,0503,1.00,0.00,,0.00,868.00
2015-01-01,NK,20416,NK,975,11433,1143302,31295,DTW,11292,1129202,30325,DEN,1755,1803,8.00,12.00,1815,1918,5.00,1909,1923,14.00,0.00,,0.00,1123.00
2015-01-01,NK,20416,NK,976,11292,1129202,30325,DEN,11433,1143302,31295,DTW,1952,2029,37.00,43.00,2112,0116,9.00,0031,0125,54.00,0.00,,0.00,1123.00
2015-01-01,NK,20416,NK,985,11433,1143302,31295,DTW,13495,1349503,33495,MSY,1541,1539,-2.00,13.00,1552,1713,3.00,1725,1716,-9.00,0.00,,0.00,926.00
2015-01-01,NK,20416,NK,992,13495,1349503,33495,MSY,13930,1393003,30977,ORD,1806,1802,-4.00,8.00,1810,2001,13.00,2023,2014,-9.00,0.00,,0.00,837.00
2015-01-01,OO,20304,OO,2589,12892,1289203,32575,LAX,13476,1347603,34922,MRY,1620,1614,-6.00,21.00,1635,1721,3.00,1720,1724,4.00,0.00,,0.00,266.00
2015-01-01,OO,20304,OO,2590,12892,1289203,32575,LAX,14679,1467903,33570,SAN,1820,1950,90.00,16.00,2006,2033,7.00,1905,2040,95.00,0.00,,0.00,109.00
