"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_SEQ_ID","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC_SEQ_ID2","CITY_MARKET_WAC","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
1013202,10132,"AAX","Araxa Airport","Araxa, Brazil",31601,316,"Brazil","BR","","","",3013201,30132,"Araxa, Brazil",31601,316,19,"S",33,48,-19.56333333,46,"W",57,37,-46.96027778,"-0300",2011-07-01,,0,1,
1013401,10134,"ABD","Abadan Airport","Abadan, Iran",63201,632,"Iran","IR","","","",3013401,30134,"Abadan, Iran",63201,632,30,"N",21,58,30.36611111,48,"E",13,56,48.23222222,"+0330",1977-06-01,1979-11-30,0,0,
1013402,10134,"ABD","Abadan Airport","Abadan, Iran",63202,632,"Iran","IR","","","",3013402,30134,"Abadan, Iran",63202,632,30,"N",21,58,30.36611111,48,"E",13,56,48.23222222,"+0330",1979-12-01,2011-06-30,0,0,
1013403,10134,"ABD","Abadan Airport","Abadan, Iran",63202,632,"Iran","IR","","","",3013402,30134,"Abadan, Iran",63202,632,30,"N",21,55,30.36527778,48,"E",13,59,48.23305556,"+0330",2011-07-01,,0,1,
1013501,10135,"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton, PA",2301,23,"United States","US","Pennsylvania","PA","42",3013501,30135,"Allentown/Bethlehem/Easton, PA",2301,23,40,"N",39,17,40.65472222,75,"W",26,18,-75.43833333,"-0500",1950-01-01,2011-06-30,0,0,
1013502,10135,"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton, PA",2301,23,"United States","US","Pennsylvania","PA","42",3013501,30135,"Allentown/Bethlehem/Easton, PA",2301,23,40,"N",39,8,40.65222222,75,"W",26,25,-75.44027778,"-0500",2011-07-01,2012-03-31,0,0,
1013503,10135,"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton, PA",2301,23,"United States","US","Pennsylvania","PA","42",3013501,30135,"Allentown/Bethlehem/Easton, PA",2301,23,40,"N",39,8,40.65222222,75,"W",26,26,-75.44055556,"-0500",2012-04-01,,0,1,
1013601,10136,"ABI","Abilene Regional","Abilene, TX",7401,74,"United States","US","Texas","TX","48",3013601,30136,"Abilene, TX",7401,74,32,"N",24,34,32.40944444,99,"W",40,47,-99.67972222,"-0600",1950-01-01,1990-08-31,0,0,
1013602,10136,"ABI","Abilene Regional","Abilene, TX",7401,74,"United States","US","Texas","TX","48",3013601,30136,"Abilene, TX",7401,74,32,"N",24,40,32.41111111,99,"W",40,54,-99.68166667,"-0600",1990-09-01,2011-06-30,0,0,
1013603,10136,"ABI","Abilene Regional","Abilene, TX",7401,74,"United States","US","Texas","TX","48",3013601,30136,"Abilene, TX",7401,74,32,"N",24,41,32.41138889,99,"W",40,55,-99.68194444,"-0600",2011-07-01,,0,1,
1013701,10137,"ABJ","Abidjan Felix Houphouet Boigny International","Abidjan, Cote d'Ivoire",53301,533,"Cote d'Ivoire","CI","","","",3013701,30137,"Abidjan, Cote d'Ivoire",53301,533,5,"N",15,20,5.25555556,3,"W",55,45,-3.92916667,"+0000",1960-08-01,2011-06-30,0,0,
1013702,10137,"ABJ","Abidjan Felix Houphouet Boigny International","Abidjan, Cote d'Ivoire",53301,533,"Cote d'Ivoire","CI","","","",3013701,30137,"Abidjan, Cote d'Ivoire",53301,533,5,"N",15,41,5.26138889,3,"W",55,33,-3.92583333,"+0000",2011-07-01,2015-03-31,0,0,
1013703,10137,"ABJ","Felix Houphouet Boigny Abidjan","Abidjan, Cote d'Ivoire",53301,533,"Cote d'Ivoire","CI","","","",3013701,30137,"Abidjan, Cote d'Ivoire",53301,533,5,"N",15,41,5.26138889,3,"W",55,33,-3.92583333,"+0000",2015-04-01,2015-04-30,0,0,
1013704,10137,"ABJ","Felix Houphouet Boigny Abidjan International","Abidjan, Cote d'Ivoire",53301,533,"Cote d'Ivoire","CI","","","",3013701,30137,"Abidjan, Cote d'Ivoire",53301,533,5,"N",15,41,5.26138889,3,"W",55,33,-3.92583333,"+0000",2015-05-01,,0,1,
1013801,10138,"ABK","Kabri Dar Airport","Kabri Dar, Ethiopia",52201,522,"Ethiopia","ET","","","",3013801,30138,"Kabri Dar, Ethiopia",52201,522,6,"N",44,2,6.73388889,44,"E",15,58,44.26611111,"+0300",1976-06-01,2011-06-30,0,0,
1013802,10138,"ABK","Kebri Dahar","Kabri Dar, Ethiopia",52201,522,"Ethiopia","ET","","","",3013801,30138,"Kabri Dar, Ethiopia",52201,522,6,"N",43,58,6.73277778,44,"E",14,30,44.24166667,"+0300",2011-07-01,2015-03-31,0,0,
1013803,10138,"ABK","Kebri Dahar","Kabri Dar, Ethiopia",52201,522,"Ethiopia","ET","","","",3013801,30138,"Kabri Dar, Ethiopia",52201,522,6,"N",43,58,6.73277778,44,"E",14,29,44.24138889,"+0300",2015-04-01,,0,1,
1013901,10139,"ABL","Ambler River","Ambler, AK",101,1,"United States","US","Alaska","AK","02",3013901,30139,"Ambler, AK",101,1,67,"N",5,15,67.08750000,157,"W",50,45,-157.84583333,"-0900",1950-01-01,,0,1,
1014001,10140,"ABQ","Albuquerque International Sunport","Albuquerque, NM",8601,86,"United States","US","New Mexico","NM","35",3014001,30140,"Albuquerque, NM",8601,86,35,"N",2,30,35.04166667,106,"W",36,23,-106.60638889,"-0700",1950-01-01,2011-06-30,0,0,
1014002,10140,"ABQ","Albuquerque International Sunport","Albuquerque, NM",8601,86,"United States","US","New Mexico","NM","35",3014001,30140,"Albuquerque, NM",8601,86,35,"N",2,25,35.04027778,106,"W",36,33,-106.60916667,"-0700",2011-07-01,2014-05-31,0,0,
1014003,10140,"ABQ","Albuquerque International Sunport","Albuquerque, NM",8601,86,"United States","US","New Mexico","NM","35",3014001,30140,"Albuquerque, NM",8601,86,35,"N",2,20,35.03888889,106,"W",36,30,-106.60833333,"-0700",2014-06-01,,0,1,
1014101,10141,"ABR","Aberdeen Regional","Aberdeen, SD",6701,67,"United States","US","South Dakota","SD","46",3014101,30141,"Aberdeen, SD",6701,67,45,"N",26,59,45.44972222,98,"W",25,18,-98.42166667,"-0600",1950-01-01,2011-06-30,0,0,
1014102,10141,"ABR","Aberdeen Regional","Aberdeen, SD",6701,67,"United States","US","South Dakota","SD","46",3014101,30141,"Aberdeen, SD",6701,67,45,"N",26,57,45.44916667,98,"W",25,19,-98.42194444,"-0600",2011-07-01,2014-05-31,0,0,
1014103,10141,"ABR","Aberdeen Regional","Aberdeen, SD",6701,67,"United States","US","South Dakota","SD","46",3014101,30141,"Aberdeen, SD",6701,67,45,"N",26,54,45.44833333,98,"W",25,21,-98.42250000,"-0600",2014-06-01,,0,1,
1014201,10142,"ABS","Abu Simbel Airport","Abu Simbel, Egypt",59101,591,"Egypt","EG","","","",3014201,30142,"Abu Simbel, Egypt",59101,591,22,"N",22,20,22.37222222,31,"E",36,55,31.61527778,"+0200",1950-01-01,2011-06-30,0,0,
1014202,10142,"ABS","Abu Simbel Airport","Abu Simbel, Egypt",59101,591,"Egypt","EG","","","",3014201,30142,"Abu Simbel, Egypt",59101,591,22,"N",22,29,22.37472222,31,"E",36,34,31.60944444,"+0200",2011-07-01,2013-07-31,0,0,
1014203,10142,"ABS","Abu Simbel Airport","Abu Simbel, Egypt",59101,591,"Egypt","EG","","","",3014201,30142,"Abu Simbel, Egypt",59101,591,22,"N",22,33,22.37583333,31,"E",36,42,31.61166667,"+0200",2013-08-01,,0,1,
1014301,10143,"BBH","Al-Baha Airport","Al-Baha, Saudi Arabia",67001,670,"Saudi Arabia","SA","","","",3014301,30143,"Al-Baha, Saudi Arabia",67001,670,20,"N",17,46,20.29611111,41,"E",38,3,41.63416667,"+0300",1983-06-01,1985-05-31,0,0,
1014302,10143,"ABT","Al-Baha Airport","Al-Baha, Saudi Arabia",67001,670,"Saudi Arabia","SA","","","",3014301,30143,"Al-Baha, Saudi Arabia",67001,670,20,"N",17,46,20.29611111,41,"E",38,3,41.63416667,"+0300",1985-06-01,2016-06-30,0,0,
1014303,10143,"ABT","King Saud Bin Abdulaziz","Al-Baha, Saudi Arabia",67001,670,"Saudi Arabia","SA","","","",3014301,30143,"Al-Baha, Saudi Arabia",67001,670,20,"N",17,46,20.29611111,41,"E",38,3,41.63416667,"+0300",2016-07-01,,0,1,
1014401,10144,"ABV","Abuja Nnamdi Azikiwe International","Abuja, Nigeria",55501,555,"Nigeria","NG","","","",3014401,30144,"Abuja, Nigeria",55501,555,9,"N",0,20,9.00555556,7,"E",15,58,7.26611111,"+0100",1983-12-01,2011-06-30,0,0,
1014402,10144,"ABV","Abuja Nnamdi Azikiwe International","Abuja, Nigeria",55501,555,"Nigeria","NG","","","",3014401,30144,"Abuja, Nigeria",55501,555,9,"N",0,24,9.00666667,7,"E",15,47,7.26305556,"+0100",2011-07-01,,0,1,
1014501,10145,"ABX","Albury Airport","Albury, Australia",80201,802,"Australia","AU","","","",3014501,30145,"Albury, Australia",80201,802,36,"S",4,6,-36.06833333,146,"E",58,36,146.97666667,"+1000",1950-01-01,2011-06-30,0,0,
1014502,10145,"ABX","Albury Airport","Albury, Australia",80201,802,"Australia","AU","","","",3014501,30145,"Albury, Australia",80201,802,36,"S",4,4,-36.06777778,146,"E",57,29,146.95805556,"+1000",2011-07-01,,0,1,
1014601,10146,"ABY","Southwest Georgia Regional","Albany, GA",3401,34,"United States","US","Georgia","GA","13",3014601,30146,"Albany, GA",3401,34,31,"N",31,56,31.53222222,84,"W",11,46,-84.19611111,"-0500",1950-01-01,2011-06-30,0,0,
1014602,10146,"ABY","Southwest Georgia Regional","Albany, GA",3401,34,"United States","US","Georgia","GA","13",3014601,30146,"Albany, GA",3401,34,31,"N",32,8,31.53555556,84,"W",11,40,-84.19444444,"-0500",2011-07-01,,0,1,
1014701,10147,"ABZ","Aberdeen Dyce","Aberdeen, United Kingdom",49301,493,"United Kingdom","GB","","","",3014701,30147,"Aberdeen, United Kingdom",49301,493,57,"N",12,15,57.20416667,2,"W",11,55,-2.19861111,"+0000",1950-01-01,2011-06-30,0,0,
1014702,10147,"ABZ","Aberdeen Dyce","Aberdeen, United Kingdom",49301,493,"United Kingdom","GB","","","",3014701,30147,"Aberdeen, United Kingdom",49301,493,57,"N",12,7,57.20194444,2,"W",11,52,-2.19777778,"+0000",2011-07-01,2011-12-31,0,0,
1014703,10147,"ABZ","Aberdeen Dyce","Aberdeen, United Kingdom",49301,493,"United Kingdom","GB","","","",3014701,30147,"Aberdeen, United Kingdom",49301,493,57,"N",12,9,57.20250000,2,"W",11,53,-2.19805556,"+0000",2012-01-01,,0,1,
1014801,10148,"ACA","General Juan N Alvarez International","Acapulco, Mexico",14801,148,"Mexico","MX","","","",3014801,30148,"Acapulco, Mexico",14801,148,16,"N",45,20,16.75555556,99,"W",46,1,-99.76694444,"-0600",1950-01-01,2011-06-30,0,0,
1014802,10148,"ACA","General Juan N Alvarez International","Acapulco, Mexico",14801,148,"Mexico","MX","","","",3014801,30148,"Acapulco, Mexico",14801,148,16,"N",45,25,16.75694444,99,"W",45,14,-99.75388889,"-0600",2011-07-01,,0,1,
1014901,10149,"ACB","Antrim County","Bellaire, MI",4301,43,"United States","US","Michigan","MI","26",3014901,30149,"Bellaire, MI",4301,43,44,"N",59,5,44.98472222,85,"W",11,57,-85.19916667,"-0500",1950-01-01,2011-06-30,0,0,
1014902,10149,"ACB","Antrim County","Bellaire, MI",4301,43,"United States","US","Michigan","MI","26",3014901,30149,"Bellaire, MI",4301,43,44,"N",59,19,44.98861111,85,"W",11,54,-85.19833333,"-0500",2011-07-01,,0,1,
1015001,10150,"ACC","Accra Kotoka International","Accra, Ghana",52901,529,"Ghana","GH","","","",3015001,30150,"Accra, Ghana",52901,529,5,"N",35,43,5.59527778,0,"W",10,15,-0.17083333,"+0000",1957-03-01,2011-06-30,0,0,
1015002,10150,"ACC","Accra Kotoka International","Accra, Ghana",52901,529,"Ghana","GH","","","",3015001,30150,"Accra, Ghana",52901,529,5,"N",36,16,5.60444444,0,"W",10,3,-0.16750000,"+0000",2011-07-01,,0,1,
1015101,10151,"ACE","Lanzarote","Arrecife, Spain",48201,482,"Spain","ES","","","",3015101,30151,"Arrecife, Spain",48201,482,28,"N",56,33,28.94250000,13,"W",36,17,-13.60472222,"+0000",1950-01-01,2011-06-30,0,0,
1015102,10151,"ACE","Lanzarote","Arrecife, Spain",48201,482,"Spain","ES","","","",3015101,30151,"Arrecife, Spain",48201,482,28,"N",56,44,28.94555556,13,"W",36,19,-13.60527778,"+0000",2011-07-01,,0,1,
